,Duration,Type,Call Status,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
1041,307,Service,Existing Customer Prospect,736536668.0,0,0.258819045102521,0.25881904510252074,-0.4999999999999997,0.49999999999999933,1.0,0.866025403784439
1063,223,Service,Existing Customer Prospect,734981569.0,0,0.258819045102521,0.49999999999999994,0.7071067811865476,0.49999999999999933,0.8660254037844387,-0.5000000000000004
1085,73,Service,Left Message/Voice Mail,735868857.0,0,0.258819045102521,0.9659258262890682,-2.4492935982947064e-16,0.49999999999999933,-0.4999999999999998,0.8660254037844378
1108,306,Service,Existing Customer Prospect,728164149.0,0,0.5000000000000003,0.49999999999999994,0.258819045102521,-1.8369701987210297e-16,0.8660254037844387,0.49999999999999933
1113,306,Service,New Prospect,1049156707.0,0,0.8660254037844387,0.7071067811865476,-0.8660254037844385,-0.8660254037844388,0.5000000000000001,1.1943401194869635e-15
1119,291,Service,Disconnected in Progress,713932142.0,1,0.8660254037844387,0.49999999999999994,-2.4492935982947064e-16,-0.8660254037844388,0.8660254037844387,0.8660254037844378
1120,181,Current Customer,Current Customer,1034365393.0,1,0.258819045102521,0.0,0.9659258262890683,0.49999999999999933,0.8660254037844387,-1.0
1127,94,Other,Left Message/Voice Mail,685299795.0,1,0.8660254037844386,0.49999999999999994,-0.9659258262890681,6.123233995736766e-17,0.8660254037844387,-0.4999999999999992
1132,92,Service,Existing Customer Prospect,679908297.0,1,0.7071067811865476,0.25881904510252074,-0.7071067811865471,0.5000000000000001,1.0,0.5000000000000004
1136,289,Service,Existing Customer Prospect,720547577.0,0,0.7071067811865476,0.0,-0.7071067811865471,-0.5000000000000004,0.8660254037844387,0.5000000000000004
1141,287,Service,Existing Customer Prospect,1043926336.0,0,0.7071067811865476,0.0,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
1164,184,Service,New Prospect,1057602303.0,0,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
1187,159,Service,Answering Service/Call Center,704211629.0,0,0.9659258262890683,0.0,0.9659258262890683,-1.0,0.8660254037844387,-1.0
1210,98,Service,Answering Service/Call Center,1047659242.0,0,0.7071067811865476,0.9659258262890682,0.8660254037844387,-0.5000000000000004,-0.4999999999999998,-0.8660254037844388
1238,285,Service,Referral Prospect,1046320244.0,0,0.7071067811865476,0.0,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
1251,279,Service,New Prospect,1048409427.0,0,0.8660254037844387,0.25881904510252074,-0.25881904510252035,-0.8660254037844388,1.0,1.0
1254,82,Service,New Prospect,1061450334.0,0,1.0,0.9659258262890682,0.8660254037844387,-0.8660254037844385,-0.4999999999999998,-0.8660254037844388
1261,278,Sales,New Prospect,1086552719.0,2,0.25881904510252074,0.0,0.258819045102521,1.0,0.8660254037844387,0.49999999999999933
1274,277,Service,New Prospect,1035540324.0,0,0.258819045102521,0.0,0.5000000000000003,0.49999999999999933,0.8660254037844387,-1.8369701987210297e-16
1296,271,Service,New Prospect,1049186837.0,0,0.8660254037844387,0.7071067811865476,-0.4999999999999997,-0.8660254037844388,0.5000000000000001,0.866025403784439
1299,197,Service,Existing Customer Prospect,729275533.0,0,0.5000000000000003,0.0,0.5000000000000003,-1.8369701987210297e-16,0.8660254037844387,-1.8369701987210297e-16
1304,269,Service,Existing Customer Prospect,699550985.0,0,1.0,0.25881904510252074,0.8660254037844387,-0.8660254037844385,1.0,-0.8660254037844388
1311,108,Service,New Prospect,718723924.0,0,0.7071067811865476,0.25881904510252074,0.8660254037844387,-0.5000000000000004,1.0,-0.8660254037844388
1448,262,Service,New Prospect,731114439.0,2,0.5000000000000003,0.0,-2.4492935982947064e-16,-1.8369701987210297e-16,0.8660254037844387,0.8660254037844378
1461,196,Current Customer,Repeat Caller,715211668.0,2,0.8660254037844387,0.0,-0.8660254037844385,-0.8660254037844388,0.8660254037844387,1.1943401194869635e-15
