,Duration,Type,Call Status,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
1549,434,Service,New Prospect,1045468204.0,1,0.7071067811865476,0.8660254037844386,0.7071067811865476,-0.5000000000000004,6.123233995736766e-17,-0.5000000000000004
1553,187,Service,Existing Customer Prospect,1049768678.0,1,0.8660254037844387,0.0,-0.8660254037844385,-0.8660254037844388,0.8660254037844387,1.1943401194869635e-15
1557,256,Service,New Prospect,706149854.0,0,0.9659258262890683,0.0,0.5000000000000003,-1.0,0.8660254037844387,-1.8369701987210297e-16
1561,362,Service,Existing Customer Prospect,721425258.0,0,0.7071067811865476,0.7071067811865476,-0.4999999999999997,-0.5000000000000004,0.5000000000000001,0.866025403784439
1562,118,Current Customer,Current Customer,721154717.0,1,0.7071067811865476,0.49999999999999994,-0.7071067811865471,-0.5000000000000004,0.8660254037844387,0.5000000000000004
1566,117,Service,New Prospect,1048207002.0,1,0.8660254037844387,0.49999999999999994,-2.4492935982947064e-16,-0.8660254037844388,0.8660254037844387,0.8660254037844378
1570,438,Sales,Existing Customer Prospect,717323234.0,1,0.8660254037844387,0.25881904510252074,-0.7071067811865471,-0.8660254037844388,1.0,0.5000000000000004
1575,289,Service,Existing Customer Prospect,720547577.0,1,0.7071067811865476,0.0,-0.7071067811865471,-0.5000000000000004,0.8660254037844387,0.5000000000000004
1581,285,Service,Referral Prospect,1046320244.0,0,0.7071067811865476,0.0,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
1588,108,Service,New Prospect,718723924.0,0,0.7071067811865476,0.25881904510252074,0.8660254037844387,-0.5000000000000004,1.0,-0.8660254037844388
1593,269,Service,Existing Customer Prospect,699550985.0,0,1.0,0.25881904510252074,0.8660254037844387,-0.8660254037844385,1.0,-0.8660254037844388
1599,135,Current Customer,Current Customer,1047993693.0,0,0.8660254037844387,0.7071067811865476,-2.4492935982947064e-16,-0.8660254037844388,0.5000000000000001,0.8660254037844378
1603,111,Service,Existing Customer Prospect,717835517.0,1,0.8660254037844387,0.7071067811865476,0.258819045102521,-0.8660254037844388,0.5000000000000001,0.49999999999999933
